Date,Open,High,Low,Close,Adj Close,Volume
2009-12-21,9.178125,10.047500,9.178125,10.047500,9.328751,13512000
2009-12-28,10.153125,10.238750,9.866875,9.872500,9.166270,12409600
2010-01-04,10.220625,10.443125,9.819375,10.186875,9.458156,26248000
2010-01-11,10.301875,10.333125,9.516250,9.762500,9.064137,28739200
2010-01-18,9.756250,10.204375,8.306875,8.372500,7.773572,30016000
2010-01-25,8.542500,8.888125,7.254375,7.393750,6.864837,61836800
2010-02-01,7.511250,8.090625,7.178125,7.560625,7.019775,68992000
2010-02-08,7.580625,8.058750,7.443125,8.007500,7.434683,49915200
2010-02-15,8.186875,8.750000,8.088125,8.640000,8.021938,32256000
2010-02-22,8.761875,8.771250,7.928125,8.434375,7.831022,36236800
2010-03-01,8.511875,9.255625,8.466875,9.203125,8.544779,49107200
2010-03-08,9.221875,9.811875,9.174375,9.698125,9.004371,36209600
2010-03-15,9.593125,10.129375,9.364375,9.736250,9.039766,33707200
2010-03-22,9.594375,10.250000,9.541250,9.791875,9.091413,35028800
2010-03-29,9.896875,10.080000,9.521250,9.721875,9.322652,20804800
2010-04-05,9.823125,10.350625,9.779375,10.344375,9.919589,21774400
2010-04-12,10.326250,11.303125,10.291875,10.815000,10.370887,40484800
2010-04-19,10.688125,11.358125,10.416875,11.339375,10.873729,39942400
2010-04-26,11.356875,11.458125,10.256250,10.266250,9.844672,40622400
2010-05-03,10.440625,10.835000,7.375000,8.002500,7.673881,67178400
2010-05-10,9.152500,9.965000,8.517500,8.882500,8.517745,35766800
2010-05-17,8.912500,9.205000,7.025000,7.652500,7.338254,54038800
2010-05-24,7.695000,8.097500,6.802500,7.912500,7.587577,38020400
2010-05-31,7.760000,8.500000,7.500000,7.642500,7.328664,22187600
2010-06-07,7.715000,7.790000,6.825000,7.745000,7.426955,25066400
2010-06-14,8.005000,8.702500,7.695000,8.562500,8.210886,33584800
2010-06-21,8.880000,8.902500,7.227500,7.400000,7.096124,27126000
2010-06-28,7.427500,7.562500,5.860000,6.137500,5.976950,33714000
2010-07-05,6.445000,7.185000,6.110000,7.182500,6.994615,24855200
2010-07-12,7.140000,8.037500,7.140000,7.217500,7.028699,32658000
2010-07-19,7.282500,8.002500,6.917500,7.997500,7.788294,28367600
2010-07-26,8.010000,8.275000,7.342500,7.597500,7.398758,16524000
2010-08-02,7.835000,8.197500,7.662500,7.982500,7.773688,11861200
2010-08-09,8.010000,8.120000,6.532500,6.620000,6.446828,18435600
2010-08-16,6.537500,7.147500,6.447500,6.782500,6.605078,19036400
2010-08-23,6.890000,6.945000,5.920000,6.362500,6.196064,22726000
2010-08-30,6.285000,7.030000,5.915000,7.017500,6.833930,17341200
2010-09-06,6.955000,7.190000,6.825000,6.977500,6.794977,10292000
2010-09-13,7.172500,7.982500,7.172500,7.877500,7.671434,16758800
2010-09-20,7.980000,8.585000,7.837500,8.567500,8.343385,21926400
2010-09-27,8.592500,8.847500,8.162500,8.395000,8.175397,18713200
2010-10-04,8.290000,8.757500,7.960000,8.692500,8.465115,14834800
2010-10-11,8.735000,9.722500,8.490000,9.712500,9.458433,15776800
2010-10-18,9.710000,9.850000,9.090000,9.680000,9.426783,19802800
2010-10-25,9.787500,10.247500,9.485000,10.060000,9.796844,15400800
2010-11-01,10.207500,11.125000,9.995000,11.070000,10.780422,20799600
2010-11-08,11.010000,11.395000,9.890000,10.105000,9.840667,21912800
2010-11-15,10.250000,10.255000,9.297500,10.007500,9.745715,20001600
2010-11-22,9.915000,10.365000,9.637500,10.162500,9.896662,13440800
2010-11-29,9.985000,10.782500,9.560000,10.750000,10.468793,18850000
